"행정구역","2023년02월_거주자_총인구수","2023년02월_거주자_연령구간인구수","2023년02월_거주자_0~9세","2023년02월_거주자_10~19세","2023년02월_거주자_20~29세","2023년02월_거주자_30~39세","2023년02월_거주자_40~49세","2023년02월_거주자_50~59세","2023년02월_거주자_60~69세","2023년02월_거주자_70~79세","2023년02월_거주자_80~89세","2023년02월_거주자_90~99세","2023년02월_거주자_100세 이상"
"서울특별시 양천구 (1147000000)","437,391","437,391","26,797","48,368","54,078","53,517","73,573","74,367","61,536","30,867","12,422","1,819","47"
"서울특별시 양천구 목1동(1147051000)","30,219","30,219","2,499","5,070","3,028","2,827","6,490","5,020","3,167","1,470","564","82","2"
"서울특별시 양천구 목2동(1147052000)","29,094","29,094","1,425","2,295","4,394","5,198","4,359","4,677","4,082","1,816","747","100","1"
"서울특별시 양천구 목3동(1147053000)","21,315","21,315","1,110","1,394","3,110","3,868","3,052","3,374","3,192","1,487","623","103","2"
"서울특별시 양천구 목4동(1147054000)","24,629","24,629","1,079","3,096","3,846","2,668","4,051","4,813","2,862","1,510","619","84","1"
"서울특별시 양천구 목5동(1147055000)","40,405","40,405","2,970","7,218","4,042","3,421","8,417","6,789","4,624","2,004","740","178","2"
"서울특별시 양천구 신월1동(1147056000)","19,810","19,810","773","1,196","2,454","2,555","2,801","3,492","3,772","1,986","680","97","4"
"서울특별시 양천구 신월2동(1147057000)","20,237","20,237","1,223","1,707","2,440","2,634","3,191","3,153","3,362","1,828","612","85","2"
"서울특별시 양천구 신월3동(1147058000)","14,543","14,543","727","976","1,800","1,946","1,930","2,548","2,642","1,348","577","48","1"
"서울특별시 양천구 신월4동(1147059000)","17,482","17,482","1,176","1,594","1,971","2,067","2,899","2,758","2,830","1,501","605","77","4"
"서울특별시 양천구 신월5동(1147060000)","14,216","14,216","781","1,148","1,944","1,976","2,128","2,365","2,238","1,120","460","55","1"
"서울특별시 양천구 신월6동(1147061000)","13,805","13,805","1,403","1,258","1,479","2,264","2,313","2,029","1,849","868","306","34","2"
"서울특별시 양천구 신월7동(1147061100)","18,851","18,851","821","1,123","2,243","2,512","2,557","3,266","3,452","1,881","887","108","1"
"서울특별시 양천구 신정1동(1147062000)","19,729","19,729","1,589","2,883","2,153","1,789","3,797","3,408","2,354","1,145","510","99","2"
"서울특별시 양천구 신정2동(1147063000)","18,830","18,830","1,059","2,951","2,182","1,586","3,530","3,388","2,407","1,153","482","88","4"
"서울특별시 양천구 신정3동(1147064000)","49,939","49,939","3,400","5,549","6,059","6,021","8,137","8,822","6,754","3,542","1,440","208","7"
"서울특별시 양천구 신정4동(1147065000)","32,084","32,084","1,282","2,094","5,104","4,869","4,716","5,227","4,812","2,801","1,063","114","2"
"서울특별시 양천구 신정6동(1147067000)","23,980","23,980","1,826","3,580","2,716","2,488","4,517","4,231","2,875","1,205","445","94","3"
"서울특별시 양천구 신정7동(1147068000)","28,223","28,223","1,654","3,236","3,113","2,828","4,688","5,007","4,262","2,202","1,062","165","6"
