"행정구역","2023년02월_거주자_총인구수","2023년02월_거주자_연령구간인구수","2023년02월_거주자_0~9세","2023년02월_거주자_10~19세","2023년02월_거주자_20~29세","2023년02월_거주자_30~39세","2023년02월_거주자_40~49세","2023년02월_거주자_50~59세","2023년02월_거주자_60~69세","2023년02월_거주자_70~79세","2023년02월_거주자_80~89세","2023년02월_거주자_90~99세","2023년02월_거주자_100세 이상"
"서울특별시  (1100000000)","9,353,894","9,353,894","538,119","747,571","1,379,051","1,413,062","1,433,129","1,474,076","1,289,214","711,327","324,726","42,397","1,222"
"서울특별시 종로구 (1111000000)","139,501","139,501","6,261","10,167","22,033","19,126","19,609","23,664","19,971","11,268","6,472","896","34"
"서울특별시 중구 (1114000000)","118,823","118,823","5,859","6,286","17,535","19,790","16,453","18,901","17,695","10,103","5,350","826","25"
"서울특별시 용산구 (1117000000)","214,693","214,693","11,759","14,090","31,290","37,531","31,854","34,305","28,624","15,166","8,735","1,295","44"
"서울특별시 성동구 (1120000000)","278,241","278,241","17,874","18,515","41,881","45,026","41,734","44,293","37,945","19,905","9,849","1,179","40"
"서울특별시 광진구 (1121500000)","334,508","334,508","16,173","24,419","59,817","54,267","48,596","52,364","44,401","22,638","10,507","1,287","39"
"서울특별시 동대문구 (1123000000)","334,883","334,883","18,438","22,951","56,244","48,115","47,873","51,088","47,417","27,664","13,512","1,527","54"
"서울특별시 중랑구 (1126000000)","382,831","382,831","20,107","24,742","51,764","57,260","54,231","64,890","61,931","32,008","14,173","1,687","38"
"서울특별시 성북구 (1129000000)","427,230","427,230","25,502","36,258","65,265","56,809","65,083","69,560","57,037","32,813","16,768","2,088","47"
"서울특별시 강북구 (1130500000)","290,785","290,785","12,615","19,932","39,409","35,534","41,307","50,047","47,023","29,227","14,172","1,479","40"
"서울특별시 도봉구 (1132000000)","308,876","308,876","15,221","23,277","38,830","37,817","43,728","54,112","52,000","28,106","13,954","1,785","46"
"서울특별시 노원구 (1135000000)","500,438","500,438","27,840","48,975","67,360","61,175","77,621","85,548","71,804","38,359","18,987","2,694","75"
"서울특별시 은평구 (1138000000)","462,412","462,412","25,284","36,107","62,673","65,296","70,925","75,766","66,906","38,451","18,894","2,065","45"
"서울특별시 서대문구 (1141000000)","305,566","305,566","18,503","22,755","48,649","44,426","44,866","48,359","40,361","23,099","12,922","1,575","51"
"서울특별시 마포구 (1144000000)","362,194","362,194","21,561","27,298","59,780","62,751","57,577","54,561","41,261","23,158","12,527","1,670","50"
"서울특별시 양천구 (1147000000)","437,391","437,391","26,797","48,368","54,078","53,517","73,573","74,367","61,536","30,867","12,422","1,819","47"
"서울특별시 강서구 (1150000000)","565,533","565,533","33,095","42,902","81,854","96,820","87,459","82,458","79,600","41,547","17,148","2,581","69"
"서울특별시 구로구 (1153000000)","393,306","393,306","23,952","28,591","52,370","61,306","59,577","61,114","57,945","33,068","13,720","1,627","36"
"서울특별시 금천구 (1154500000)","227,894","227,894","10,556","13,374","35,927","37,399","30,244","37,657","35,482","18,427","7,893","905","30"
"서울특별시 영등포구 (1156000000)","373,268","373,268","23,178","23,507","57,716","69,508","54,507","54,713","48,200","27,225","13,062","1,613","39"
"서울특별시 동작구 (1159000000)","376,932","376,932","20,904","26,625","64,009","59,037","55,136","56,323","49,751","29,674","13,649","1,776","48"
"서울특별시 관악구 (1162000000)","483,961","483,961","17,760","26,380","110,120","86,887","62,734","65,318","59,868","36,931","16,220","1,690","53"
"서울특별시 서초구 (1165000000)","400,615","400,615","28,765","44,548","49,583","56,039","72,208","62,485","46,805","27,373","11,058","1,699","52"
"서울특별시 강남구 (1168000000)","522,469","522,469","32,266","60,103","66,771","74,665","95,089","81,534","59,840","36,169","13,777","2,187","68"
"서울특별시 송파구 (1171000000)","654,254","654,254","45,604","58,247","86,646","104,443","106,814","100,623","88,435","44,285","16,485","2,587","85"
"서울특별시 강동구 (1174000000)","457,290","457,290","32,245","39,154","57,447","68,518","74,331","70,026","67,376","33,796","12,470","1,860","67"
